timestamp,user_id,task,event,input
2021-05-26 22:55:06.205651,1,1,mouseClick,1
2021-05-26 22:55:06.656276,1,1,mouseClick,+
2021-05-26 22:55:07.228988,1,1,mouseClick,2
2021-05-26 22:55:07.721958,1,1,mouseClick,+
2021-05-26 22:55:08.099885,1,1,mouseClick,3
2021-05-26 22:55:08.496262,1,1,mouseClick,+
2021-05-26 22:55:09.031085,1,1,mouseClick,4
2021-05-26 22:55:09.535257,1,1,mouseClick,+
2021-05-26 22:55:09.909840,1,1,mouseClick,5
2021-05-26 22:55:10.371944,1,1,mouseClick,+
2021-05-26 22:55:10.728087,1,1,mouseClick,6
2021-05-26 22:55:11.078624,1,1,mouseClick,+
2021-05-26 22:55:11.695600,1,1,mouseClick,7
2021-05-26 22:55:12.168045,1,1,mouseClick,+
2021-05-26 22:55:12.956597,1,1,mouseClick,8
2021-05-26 22:55:13.659661,1,1,mouseClick,+
2021-05-26 22:55:14.052434,1,1,mouseClick,9
2021-05-26 22:55:14.483076,1,1,mouseClick,+
2021-05-26 22:55:15.014529,1,1,mouseClick,1
2021-05-26 22:55:15.364564,1,1,mouseClick,0
2021-05-26 22:55:15.874253,1,1,mouseClick,+
2021-05-26 22:55:16.535516,1,1,mouseClick,1
2021-05-26 22:55:16.691533,1,1,mouseClick,1
2021-05-26 22:55:17.226490,1,1,mouseClick,+
2021-05-26 22:55:17.904253,1,1,mouseClick,1
2021-05-26 22:55:18.166535,1,1,mouseClick,2
2021-05-26 22:55:18.609510,1,1,mouseClick,+
2021-05-26 22:55:19.247040,1,1,mouseClick,1
2021-05-26 22:55:19.703244,1,1,mouseClick,3
2021-05-26 22:55:20.114195,1,1,mouseClick,+
2021-05-26 22:55:20.630847,1,1,mouseClick,1
2021-05-26 22:55:20.894204,1,1,mouseClick,4
2021-05-26 22:55:21.655184,1,1,mouseClick,+
2021-05-26 22:55:22.071510,1,1,mouseClick,1
2021-05-26 22:55:22.370590,1,1,mouseClick,5
2021-05-26 22:55:22.926992,1,1,mouseClick,+
2021-05-26 22:55:23.403302,1,1,mouseClick,1
2021-05-26 22:55:23.803100,1,1,mouseClick,6
2021-05-26 22:55:24.288952,1,1,mouseClick,+
2021-05-26 22:55:24.725864,1,1,mouseClick,1
2021-05-26 22:55:25.125461,1,1,mouseClick,7
2021-05-26 22:55:25.736384,1,1,mouseClick,+
2021-05-26 22:55:26.212816,1,1,mouseClick,1
2021-05-26 22:55:26.633662,1,1,mouseClick,8
2021-05-26 22:55:27.275868,1,1,mouseClick,+
2021-05-26 22:55:27.727509,1,1,mouseClick,1
2021-05-26 22:55:28.298848,1,1,mouseClick,9
2021-05-26 22:55:28.940662,1,1,mouseClick,+
2021-05-26 22:55:29.331832,1,1,mouseClick,2
2021-05-26 22:55:29.663342,1,1,mouseClick,0
2021-05-26 22:55:30.100794,1,1,mouseClick,=
