timestamp,user_id,task,event,input
2021-05-26 22:59:35.787314,2,4,keyPress,3
2021-05-26 22:59:35.871290,2,4,keyRelease,3
2021-05-26 22:59:36.323856,2,4,keyPress,
2021-05-26 22:59:36.449882,2,4,keyPress,*
2021-05-26 22:59:36.565011,2,4,keyRelease,*
2021-05-26 22:59:36.575670,2,4,keyRelease,
2021-05-26 22:59:36.787177,2,4,keyPress,3
2021-05-26 22:59:36.883392,2,4,keyRelease,3
2021-05-26 22:59:37.226715,2,4,keyPress,+
2021-05-26 22:59:37.356469,2,4,keyRelease,+
2021-05-26 22:59:38.665902,2,4,keyPress,4
2021-05-26 22:59:38.772241,2,4,keyRelease,4
2021-05-26 22:59:38.892930,2,4,keyPress,
2021-05-26 22:59:39.083090,2,4,keyPress,*
2021-05-26 22:59:39.198761,2,4,keyRelease,*
2021-05-26 22:59:39.271832,2,4,keyRelease,
2021-05-26 22:59:39.626009,2,4,keyPress,4
2021-05-26 22:59:39.731867,2,4,keyRelease,4
2021-05-26 22:59:40.394263,2,4,keyPress,=
2021-05-26 22:59:40.529329,2,4,keyRelease,
2021-05-26 22:59:41.651945,2,4,keyPress,
2021-05-26 22:59:41.794670,2,4,keyPress,*
2021-05-26 22:59:41.927383,2,4,keyRelease,
2021-05-26 22:59:41.940369,2,4,keyRelease,+
2021-05-26 22:59:42.161552,2,4,keyPress,2
2021-05-26 22:59:42.233321,2,4,keyRelease,2
2021-05-26 22:59:42.450264,2,4,keyPress,delete
2021-05-26 22:59:42.578912,2,4,keyPress,1
2021-05-26 22:59:42.589560,2,4,keyRelease,
2021-05-26 22:59:42.662301,2,4,keyPress,5
2021-05-26 22:59:42.710545,2,4,keyRelease,1
2021-05-26 22:59:42.766023,2,4,keyRelease,5
2021-05-26 22:59:43.634805,2,4,keyPress,.
2021-05-26 22:59:43.748725,2,4,keyRelease,.
2021-05-26 22:59:43.971268,2,4,keyPress,2
2021-05-26 22:59:44.095273,2,4,keyRelease,2
2021-05-26 22:59:44.338556,2,4,keyPress,=
2021-05-26 22:59:44.446594,2,4,keyRelease,
