timestamp,user_id,task,event,input
2021-05-26 22:55:59.602497,1,2,keyPress,1
2021-05-26 22:55:59.731510,1,2,keyRelease,1
2021-05-26 22:55:59.746856,1,2,keyPress,+
2021-05-26 22:55:59.891483,1,2,keyPress,2
2021-05-26 22:55:59.900138,1,2,keyRelease,+
2021-05-26 22:56:00.022525,1,2,keyRelease,2
2021-05-26 22:56:00.209906,1,2,keyPress,+
2021-05-26 22:56:00.371093,1,2,keyPress,3
2021-05-26 22:56:00.380217,1,2,keyRelease,+
2021-05-26 22:56:00.474201,1,2,keyRelease,3
2021-05-26 22:56:00.747148,1,2,keyPress,+
2021-05-26 22:56:00.921792,1,2,keyPress,4
2021-05-26 22:56:00.940269,1,2,keyRelease,+
2021-05-26 22:56:01.030544,1,2,keyRelease,4
2021-05-26 22:56:01.225831,1,2,keyPress,+
2021-05-26 22:56:01.330072,1,2,keyPress,5
2021-05-26 22:56:01.378955,1,2,keyRelease,+
2021-05-26 22:56:01.426076,1,2,keyRelease,5
2021-05-26 22:56:01.818967,1,2,keyPress,+
2021-05-26 22:56:01.933715,1,2,keyPress,6
2021-05-26 22:56:02.003838,1,2,keyRelease,+
2021-05-26 22:56:02.079255,1,2,keyRelease,6
2021-05-26 22:56:02.299480,1,2,keyPress,+
2021-05-26 22:56:02.395813,1,2,keyPress,7
2021-05-26 22:56:02.462601,1,2,keyRelease,+
2021-05-26 22:56:02.542600,1,2,keyRelease,7
2021-05-26 22:56:02.819131,1,2,keyPress,+
2021-05-26 22:56:03.011574,1,2,keyRelease,+
2021-05-26 22:56:03.019389,1,2,keyPress,8
2021-05-26 22:56:03.115696,1,2,keyRelease,8
2021-05-26 22:56:03.218192,1,2,keyPress,+
2021-05-26 22:56:03.394444,1,2,keyRelease,+
2021-05-26 22:56:03.761446,1,2,keyPress,9
2021-05-26 22:56:03.923775,1,2,keyRelease,9
2021-05-26 22:56:04.049809,1,2,keyPress,+
2021-05-26 22:56:04.210303,1,2,keyRelease,+
2021-05-26 22:56:04.753945,1,2,keyPress,1
2021-05-26 22:56:04.841826,1,2,keyRelease,1
2021-05-26 22:56:04.870554,1,2,keyPress,0
2021-05-26 22:56:05.011803,1,2,keyRelease,0
2021-05-26 22:56:05.075803,1,2,keyPress,+
2021-05-26 22:56:05.219229,1,2,keyRelease,+
2021-05-26 22:56:05.234556,1,2,keyPress,1
2021-05-26 22:56:05.334956,1,2,keyRelease,1
2021-05-26 22:56:05.505880,1,2,keyPress,1
2021-05-26 22:56:05.610299,1,2,keyRelease,1
2021-05-26 22:56:05.714569,1,2,keyPress,+
2021-05-26 22:56:05.875356,1,2,keyRelease,+
2021-05-26 22:56:06.034334,1,2,keyPress,1
2021-05-26 22:56:06.226400,1,2,keyPress,2
2021-05-26 22:56:06.236161,1,2,keyRelease,1
2021-05-26 22:56:06.313825,1,2,keyRelease,2
2021-05-26 22:56:06.390394,1,2,keyPress,+
2021-05-26 22:56:06.530180,1,2,keyPress,1
2021-05-26 22:56:06.610441,1,2,keyRelease,+
2021-05-26 22:56:06.723665,1,2,keyRelease,1
2021-05-26 22:56:06.786383,1,2,keyPress,3
2021-05-26 22:56:06.914684,1,2,keyRelease,3
2021-05-26 22:56:06.994331,1,2,keyPress,+
2021-05-26 22:56:07.106196,1,2,keyPress,1
2021-05-26 22:56:07.173366,1,2,keyRelease,+
2021-05-26 22:56:07.241719,1,2,keyPress,4
2021-05-26 22:56:07.295611,1,2,keyRelease,1
2021-05-26 22:56:07.374611,1,2,keyRelease,4
2021-05-26 22:56:07.447232,1,2,keyPress,+
2021-05-26 22:56:07.635384,1,2,keyRelease,+
2021-05-26 22:56:08.546244,1,2,keyPress,1
2021-05-26 22:56:08.650486,1,2,keyPress,5
2021-05-26 22:56:08.708309,1,2,keyRelease,1
2021-05-26 22:56:08.763590,1,2,keyRelease,5
2021-05-26 22:56:09.034607,1,2,keyPress,+
2021-05-26 22:56:09.194269,1,2,keyRelease,+
2021-05-26 22:56:09.239253,1,2,keyPress,1
2021-05-26 22:56:09.387569,1,2,keyRelease,1
2021-05-26 22:56:09.481812,1,2,keyPress,6
2021-05-26 22:56:09.598505,1,2,keyRelease,6
2021-05-26 22:56:09.677431,1,2,keyPress,+
2021-05-26 22:56:09.810076,1,2,keyPress,1
2021-05-26 22:56:09.880752,1,2,keyRelease,+
2021-05-26 22:56:09.974568,1,2,keyRelease,1
2021-05-26 22:56:10.163244,1,2,keyPress,7
2021-05-26 22:56:10.265797,1,2,keyRelease,7
2021-05-26 22:56:10.331961,1,2,keyPress,+
2021-05-26 22:56:10.452055,1,2,keyRelease,+
2021-05-26 22:56:10.534677,1,2,keyPress,1
2021-05-26 22:56:10.631604,1,2,keyRelease,1
2021-05-26 22:56:10.786647,1,2,keyPress,8
2021-05-26 22:56:10.901611,1,2,keyRelease,8
2021-05-26 22:56:11.042284,1,2,keyPress,+
2021-05-26 22:56:11.192269,1,2,keyRelease,+
2021-05-26 22:56:11.234681,1,2,keyPress,1
2021-05-26 22:56:11.331009,1,2,keyRelease,1
2021-05-26 22:56:11.458617,1,2,keyPress,9
2021-05-26 22:56:11.580925,1,2,keyRelease,9
2021-05-26 22:56:12.130802,1,2,keyPress,+
2021-05-26 22:56:12.275267,1,2,keyRelease,+
2021-05-26 22:56:12.361375,1,2,keyPress,2
2021-05-26 22:56:12.461650,1,2,keyRelease,2
2021-05-26 22:56:12.516903,1,2,keyPress,0
2021-05-26 22:56:12.630423,1,2,keyRelease,0
2021-05-26 22:56:12.939159,1,2,keyPress,=
2021-05-26 22:56:13.068110,1,2,keyRelease,
2021-05-26 22:56:15.993449,1,2,mouseClick,=
